Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
492.3448152,0,0.252207518,1018 carbon steel,6.68,2728655.463,1.62E+08,0.016843552,240,230,201,328.6,257.6,276,307,256,230.4636411,377.8788495,537.4334462,472.0218333,494.8291593,221.4509034,553.6119049,363.11,379.15918
478.8431373,0,0.249189169,1018 carbon steel,6.68,2729092.913,1.62E+08,0.016846253,240,230,201,328.6,257.6,276,307,256,228.9351068,374.9317033,535.2635519,468.8904546,494.7407996,227.0982434,564.0890182,314.19,315.67438
431.0246947,0,0.268808439,1018 carbon steel,6.68,2726231.543,1.62E+08,0.01682859,240,230,201,328.6,257.6,276,307,256,238.7811286,393.9141766,548.9825916,488.8561166,495.3246905,231.1074432,567.1705221,304.08,278.87213
429.3369849,0,0.271826788,1018 carbon steel,6.68,2725788.213,1.62E+08,0.016825853,240,230,201,328.6,257.6,276,307,256,240.2778651,396.8616051,551.0179517,491.8503505,495.4165502,239.8274009,592.4388542,427.91,428.943
423.9925707,0,0.267299264,1018 carbon steel,6.68,2726452.952,1.62E+08,0.016829956,240,230,201,328.6,257.6,276,307,256,238.0310214,392.6086135,547.9578698,487.3516159,495.2789661,240.6891534,610.9278777,353.5,379.15918
419.7732964,0,0.270317613,1018 carbon steel,6.68,2726009.96,1.62E+08,0.016827222,240,230,201,328.6,257.6,276,307,256,239.5300728,395.3578481,550.0025937,490.3556755,495.3705517,254.4005845,609.0789753,321.8,315.67438
416.6791619,0,0.270317613,1018 carbon steel,6.68,2726009.96,1.62E+08,0.016827222,240,230,201,328.6,257.6,276,307,256,239.5300728,395.3578481,550.0025937,490.3556755,495.3705517,258.9014314,406.42,307.73,278.87213
387.7068113,0,0.114872633,1018 carbon steel,6.68,2744155.3,1.62E+08,0.01693923,240,230,201,328.6,257.6,276,307,256,153.1826452,229.9403427,388.7334882,290.7767851,491.2985273,249.2839006,355.42,430.3,424.75555
385.4565317,0,0.116381807,1018 carbon steel,6.68,2744108.477,1.62E+08,0.016938941,240,230,201,328.6,257.6,276,307,256,154.1628603,231.7823206,391.5522616,293.517889,491.3323397,238.5543078,297.43,351.92,370.74814
383.7688219,0,0.116381807,1018 carbon steel,6.68,2744108.477,1.62E+08,0.016938941,240,230,201,328.6,257.6,276,307,256,154.1628603,231.7823206,391.5522616,293.517889,491.3323397,233.445393,296.11,307.21,323.43756
381.2372573,0,0.113363458,1018 carbon steel,6.68,2744195.688,1.62E+08,0.01693948,240,230,201,328.6,257.6,276,307,256,152.1976932,228.0912217,385.8559511,288.0046566,491.2648158,258.0699223,430.3,305.4,281.71024
334.5439545,0,0.108835934,1018 carbon steel,6.68,2744275.574,1.62E+08,0.016939973,240,230,201,328.6,257.6,276,307,256,149.2133115,222.4992296,376.8460503,279.4924357,491.1642837,247.740171,351.92,452.8,424.75555
330.8872501,0,0.110345109,1018 carbon steel,6.68,2744256.104,1.62E+08,0.016939852,240,230,201,328.6,257.6,276,307,256,150.2131416,224.3707654,379.9148421,282.3634975,491.1976943,239.7399512,307.21,367.68,370.74814
372.9865,0,0.1,Zirconium,6.35,2744237.67,2.30E+07,0.119314681,240,230,201,328.6,257.6,276,307,256,143.2446393,276.5705673,681.190853,339.3766725,490.9706615,233.8101344,305.4,333.41,323.43756
399.6107,0,0.1,Zirconium,6.35,2744237.67,2.30E+07,0.119314681,240,230,201,328.6,257.6,276,307,256,143.2446393,276.5705673,681.190853,339.3766725,490.9706615,258.0699223,452.8,311.96,281.71024
388.961,0.323327,0.1,Zirconium,6.35,2744226.276,2.30E+07,0.119314186,242.4249525,231.939962,203.586616,330.505366,260.0896179,279.1362719,310.3949335,258.263289,143.2514348,277.6712909,685.3491444,340.8893591,490.9706615,247.740171,367.68,410.32,424.75555
396.9482,0.447786,0.1,Zirconium,6.35,2744221.527,2.30E+07,0.119313979,243.358395,232.686716,204.582288,331.2388029,261.0479522,280.3435242,311.701753,259.134502,143.2540513,278.0950714,686.9499651,341.4716737,490.9706615,239.7399512,333.41,356.29,370.74814
395.1733,0.945622,0.1,Zirconium,6.35,2744200.507,2.30E+07,0.119313066,247.092165,235.673732,208.564976,334.1725504,264.8812894,285.1725334,316.929031,262.619354,143.2645215,279.7906181,693.3541339,343.801113,490.9706615,233.8101344,311.96,305.63,323.43756
393.3984,1.19454,0.1,Zirconium,6.35,2744188.78,2.30E+07,0.119312556,248.95905,237.16724,210.55632,335.6394242,266.797958,287.587038,319.54267,264.36178,143.2697591,280.6386455,696.5567477,344.9659409,490.9706615,258.1222779,438.49,302.59,281.71024
398.7232,1.412343,0.1,Zirconium,6.35,2744177.852,2.30E+07,0.119312081,250.5925725,238.474058,212.298744,336.9229373,268.4750411,289.6997271,321.8296015,265.886401,143.2743433,281.3808074,699.3593197,345.985223,490.9706615,249.3271655,354.14,413.47,425.0196
443.0968,1.78572,0.1,Zirconium,6.35,2744157.666,2.30E+07,0.119311203,253.3929,240.71432,215.28576,339.123248,271.350044,293.321484,325.75006,268.50004,143.2822048,282.6533869,704.1643576,347.7326932,490.9706615,237.9546282,330.61,372.15,379.39276
526.5193,1.754605,0.1,Zirconium,6.35,2744159.418,2.30E+07,0.119311279,253.1595375,240.52763,215.03684,338.9398873,271.1104585,293.0196685,325.4233525,268.282235,143.2815495,282.5473232,703.7639046,347.5870634,490.9706615,233.9469751,309.98,322.3,311.64996
531.8442,2.096867,0.1,Zirconium,6.35,2744139.441,2.30E+07,0.11931041,255.7265025,242.581202,217.774936,340.9568372,273.7458759,296.3396099,329.0171035,270.678069,143.2887589,283.7141575,708.1691481,349.1890384,490.9706615,259.2662833,439,310.77,282.76575
491.9079,7.261915,0.1,Zirconium,6.35,2743647.631,2.30E+07,0.119289027,294.4643625,273.57149,259.09532,371.3944651,313.5167455,346.4405755,383.2501075,306.833405,143.3979361,301.3608909,774.725963,373.3802067,490.9706615,247.4186942,372.02,438.49,425.0196
